Model version,ECI Score,Release date,Organization,Country,Model accessibility,Training compute (FLOP),Confidence,Model name,Description,Display name
zai-org/glm-4.7,143.81,2025-12-22,Z.ai (Zhipu AI),China,Open weights (unrestricted),4.42e+24,Likely,GLM-4.7,,GLM-4.7 (Novita)
gpt-4-turbo,125.9,2023-11-06,OpenAI,United States of America,API access,,Unknown,GPT-4 Turbo (Nov 2023),An updated version of GPT-4 and OpenAI's then-new flagship language model.,
gpt-3.5-turbo-instruct,,2023-09-18,OpenAI,United States of America,API access,,Likely,GPT-3.5 Turbo Instruct,An instruction-tuned version of OpenAI's GPT-3.5 turbo.,
davinci-002,,,OpenAI,United States of America,API access,3.14e+23,Confident,GPT-3 175B (davinci),,
code-davinci-002,,2022-03-15,OpenAI,United States of America,API access,2.578e+24,Speculative,GPT-3.5 (davinci-002),,
falcon-40b-instruct,103.51,2023-05-25,Technology Innovation Institute,United Arab Emirates,Open weights (unrestricted),2.4e+23,Confident,Falcon-40B,,
Baichuan-7B,89.15,2023-06-01,Baichuan,China,Open weights (non-commercial),5.04e+22,Confident,Baichuan1-7B,,
Baichuan-13B-Base,,2023-07-11,Baichuan,China,Open weights (restricted use),9.36e+22,Confident,Baichuan 1-13B,,
Yi-34B,116.75,2023-11-02,01.AI,China,Open weights (restricted use),6.1e+23,Confident,Yi-34B,,
DeepSeek-Coder-V2-Lite-Instruct,,2024-06-13,,,,,Unverified,,,
DeepSeek-Coder-V2-Instruct,,2024-06-17,DeepSeek,China,Open weights (restricted use),1.2852e+24,Confident,DeepSeek-Coder-V2 236B,"An instruction-tuned version of DeepSeek Coder V2, a 236 billion-parameter coding-optimized model from DeepSeek.",
Qwen2.5-Coder-3B-Instruct,,2024-11-06,,,,,Unverified,,An instruction-tuned and coding-optimized 3 billion-parameter model in the Qwen 2.5 series.,
Qwen2.5-Coder-7B-Instruct,112.41,2024-09-17,Alibaba,China,Open weights (unrestricted),2.5113e+23,Confident,Qwen2.5-Coder (7B),An instruction-tuned and coding-optimized 7 billion-parameter model in the Qwen 2.5 series.,
Qwen2.5-Coder-14B-Instruct,,2024-11-06,,,,,Unverified,,An instruction-tuned and coding-optimized 14 billion-parameter model in the Qwen 2.5 series.,
deepseek-coder-1.3b-base,62.28,2023-11-02,"DeepSeek,Peking University",China,Open weights (restricted use),1.56e+22,Likely,DeepSeek Coder 1.3B,,
starcoder2-3b,87.44,2024-02-22,"Hugging Face,ServiceNow,NVIDIA,BigCode",United States of America,Open weights (restricted use),5.94e+22,Confident,StarCoder 2 3B,,
starcoder2-7b,92.33,2024-02-20,"Hugging Face,ServiceNow,NVIDIA,BigCode",United States of America,Open weights (restricted use),1.55e+23,Confident,StarCoder 2 7B,,
deepseek-coder-6.7b-base,88.31,2023-11-02,"DeepSeek,Peking University",China,Open weights (restricted use),8.04e+22,Likely,DeepSeek Coder 6.7B,,
DeepSeek-Coder-V2-Lite-Base,,2024-06-13,,,,,Unverified,,,
CodeQwen1.5-7B,,2024-04-15,,,,,Unverified,,,
starcoder2-15b,104.06,2024-02-20,"Hugging Face,ServiceNow,NVIDIA,BigCode",United States of America,Open weights (restricted use),3.87e+23,Confident,StarCoder 2 15B,,
deepseek-coder-33b-base,95.16,2023-11-02,"DeepSeek,Peking University",China,Open weights (restricted use),3.96e+23,Likely,DeepSeek Coder 33B,,
DeepSeek-Coder-V2-Base,,2024-06-17,DeepSeek,China,Open weights (restricted use),1.2852e+24,Confident,DeepSeek-Coder-V2 236B,,
Llama-2-13b-chat,105.27,2023-07-18,Meta AI,United States of America,Open weights (restricted use),1.6e+23,Confident,Llama 2-13B,A chat-optimized version of Meta's 13 billion-parameter model in the Llama 2 series.,
Llama-2-70b-chat,113.25,2023-07-18,Meta AI,United States of America,Open weights (restricted use),8.1e+23,Confident,Llama 2-70B,A chat-optimized version of Meta's 70 billion-parameter model in the Llama 2 series.,
Baichuan2-13B-Chat,,2023-09-06,,,,,Unverified,,A chat-optimized version of Baichuan's 13 billion-parameter model in the Baichuan 2 series.,
Qwen-14B-Chat,112.3,2023-09-24,Alibaba,China,Open weights (restricted use),2.5e+23,Confident,Qwen-14B,A chat-optimized version of Qwen's first-generation 14 billion-parameter model.,
internlm-chat-20b,,2023-09-17,,,,,Unverified,,,
Yi-6B-Chat,103.83,2023-11-22,01.AI,China,Open weights (restricted use),1.26e+23,Confident,Yi 6B,,
reka-flash-3,,2025-03-10,Reka AI,United States of America,Open weights (unrestricted),,Confident,Reka Flash 3,,
Mistral-Nemo-Instruct-2407,118.02,2024-07-18,Mistral AI,France,Open weights (unrestricted),,Confident,Mistral NeMo,,
Llama-3.2-11B-Vision-Instruct,,2024-09-24,Meta AI,United States of America,Open weights (restricted use),5.79e+23,Confident,Llama 3.2 11B,An 11 billion-parameter instruction-tuned vision language model in Meta's Llama 3.2 series.,
Llama-3.2-3B-Instruct,,2024-09-24,Meta AI,United States of America,Open weights (restricted use),1.7334e+23,Confident,Llama 3.2 3B,A 3 billion-parameter instruction-tuned model in Meta's Llama 3.2 series.,
qwen2.5-7b-instruct,,2025-02-26,Alibaba,China,Open weights (unrestricted),8.2188e+23,Confident,Qwen2.5-7B,An instruction-tuned version of Qwen 2.5 7b.,
Llama-3.2-1B-Instruct,,2024-09-24,Meta AI,United States of America,Open weights (restricted use),6.642e+22,Confident,Llama 3.2 1B,A 1 billion-parameter instruction-tuned model in Meta's Llama 3.2 series.,
gpt-5.4-pro-2026-03-05_unknown,158.57,2026-03-05,OpenAI,United States of America,API access,,Likely,GPT-5.4 Pro,,GPT-5.4 Pro
o1-pro-2025-03-19,,2025-03-19,OpenAI,United States of America,API access,,Likely,o1-pro,"An An enhanced version of OpenAI's first reasoning model,o1, evaluated with low reasoning effort.",o1 Pro
o1-2024-12-17_unknown,142.57,2024-12-17,OpenAI,United States of America,API access,,Unknown,o1,"OpenAI's first reasoning model, evaluated with at the high reasoning effort level.",o1 (unknown thinking)
pixtral-large-2411,,2024-11-18,Mistral AI,France,Open weights (non-commercial),,Confident,Pixtral Large,,
gemini-2.0-flash-02-05,135.63,2025-02-05,"Google DeepMind,Google",United States of America,API access,,Unknown,Gemini 2.0 Flash,"A February 2025 version of Gemini 2.0 Flash, a small language model from Google DeepMind.",
nova-2.0-pro-preview_unknown,,2025-12-02,Amazon,United States of America,API access,,Confident,Nova 2.0 Pro Preview,,Nova 2.0 Pro Preview (unknown)
muse-spark-1.2_xhigh,,2026-08-05,Meta AI,United States of America,API access,,Confident,Muse Spark 1.2,,Muse Spark 1.2 (xhigh)
glm-5.3_max,,2026-08-14,Z.ai (Zhipu AI),China,API access,,Confident,GLM-5.3,,GLM-5.3 (max)
kimi-k2.5_none,148.13,2026-01-27,Moonshot,China,Open weights (unrestricted),5.8e+24,Likely,Kimi K2.5,,Kimi K2.5 (instant)
MiniMax-M2,,2025-10-27,MiniMax,China,Open weights (unrestricted),,Confident,MiniMax-M2,,
gpt-5.1-codex-mini,,2025-11-12,OpenAI,United States of America,API access,,Unknown,GPT-5.1-Codex-mini,,GPT-5.1 Codex Mini
glm-5.3_unknown,,2026-08-14,Z.ai (Zhipu AI),China,API access,,Confident,GLM-5.3,,GLM-5.3 (unknown thinking)
gpt-5.5-pro_unknown,161.73,2026-04-23,OpenAI,United States of America,API access,,Likely,GPT-5.5 Pro,,GPT-5.5 Pro (unknown thinking)
gpt-5.6-sol_proxhigh,161.08,2026-07-09,OpenAI,United States of America,API access,,Confident,GPT-5.6 Sol,,"GPT-5.6 Sol (pro, xhigh)"
gpt-5.6-sol_prounknown,161.08,2026-07-09,OpenAI,United States of America,API access,,Confident,GPT-5.6 Sol,,"GPT-5.6 Sol (pro, unknown thinking)"
claude-opus-4-20250514_12K,142.92,2025-05-22,Anthropic,United States of America,API access,,Unknown,Claude Opus 4,"Anthropic's largest model in the Claude 4 series (superseded by Claude Opus 4.1), benchmarked with up to 12,000 reasoning tokens.",Claude Opus 4 
gpt-5.2-pro-2025-12-11,155.09,2025-12-11,OpenAI,United States of America,API access,,Likely,GPT-5.2 Pro,,GPT-5.2 Pro
grok-4-1-fast-non-reasoning,,2025-11-19,xAI,United States of America,API access,,Unknown,Grok 4.1 Fast,,
claude-sonnet-4-5-20250929_12K,146.86,2025-09-29,Anthropic,United States of America,API access,,Unknown,Claude Sonnet 4.5,,Claude Sonnet 4.5 (12k thinking)
DeepSeek-V3.2-Speciale,,2025-12-01,DeepSeek,China,Open weights (unrestricted),4.1999999999999997e+24,Likely,DeepSeek-V3.2,,
claude-3-7-sonnet-20250219_12K,141.67,2025-02-24,Anthropic,United States of America,API access,3.3499999999999998e+25,Likely,Claude 3.7 Sonnet,"A previous flagship reasoning model from Anthropic, benchmarked with up to 12,000 reasoning tokens allowed.",Claude 3.7 Sonnet (12k thinking)
deepseek-v4-flash_unknown,,2026-04-24,DeepSeek,China,Open weights (unrestricted),2.496e+24,Likely,DeepSeek-V4-Flash,,DeepSeek v4 (unknown)
claude-sonnet-4-20250514_12K,142.2,2025-05-22,Anthropic,United States of America,API access,,Unknown,Claude Sonnet 4,"Anthropic's mid-sized Claude 4 series model, evaluated at up to 12,000 reasoning tokens.",
gpt-5-codex,,2025-09-15,OpenAI,United States of America,API access,,Unknown,GPT-5-Codex,,GPT-5-codex
gpt-oss-120b_unknown,140.54,2025-08-05,OpenAI,United States of America,Open weights (unrestricted),4.94e+24,Confident,gpt-oss-120b,"The larger one of OpenAI's two latest open source language models, evaluated with high reasoning effort.",gpt-oss-120b (unknown thinking)
gpt-oss-20b_unknown,136.65,2025-08-05,OpenAI,United States of America,Open weights (unrestricted),5.49e+23,Confident,gpt-oss-20b,"The smaller one of OpenAI's two latest open source language models, evaluated with high reasoning effort.",gpt-oss-20b (unknown thinking)
DeepSeek-V3.2-Exp_unknown,144.86,2025-09-29,DeepSeek,China,Open weights (unrestricted),4.18e+24,Confident,DeepSeek-V3.2-Exp,,
claude-3-7-sonnet-20250219_15K,141.67,2025-02-24,Anthropic,United States of America,API access,3.3499999999999998e+25,Likely,Claude 3.7 Sonnet,"A previous flagship reasoning model from Anthropic, benchmarked with up to 15,000 reasoning tokens allowed.",Claude 3.7 Sonnet (15k thinking)
Pixtral-12B-2409,,2024-09-17,Mistral AI,France,Open weights (unrestricted),,Confident,Pixtral 12B,,
claude-opus-4-5-20251101_high,149.93,2025-11-24,Anthropic,United States of America,API access,,Unknown,Claude Opus 4.5,,Claude Opus 4.5 (high)
claude-opus-4-5-20251101_low,149.93,2025-11-24,Anthropic,United States of America,API access,,Unknown,Claude Opus 4.5,,Claude Opus 4.5 (low)
claude-opus-4-6_medium,155.01,2026-02-05,Anthropic,United States of America,API access,,Likely,Claude Opus 4.6,,Claude Opus 4.6 (medium)
claude-sonnet-4-5-20250929_2K,146.86,2025-09-29,Anthropic,United States of America,API access,,Unknown,Claude Sonnet 4.5,,Claude Sonnet 4.5 (2k thinking)
claude-sonnet-4-5-20250929_low,146.86,2025-09-29,Anthropic,United States of America,API access,,Unknown,Claude Sonnet 4.5,,Claude Sonnet 4.5 (low)
claude-opus-4-20250514_2K,142.92,2025-05-22,Anthropic,United States of America,API access,,Unknown,Claude Opus 4,"Anthropic's largest model in the Claude 4 series (superseded by Claude Opus 4.1), benchmarked with up to 2,000 reasoning tokens.",Claude Opus 4
claude-sonnet-4-20250514_2K,142.2,2025-05-22,Anthropic,United States of America,API access,,Unknown,Claude Sonnet 4,"Anthropic's mid-sized Claude 4 series model, evaluated at up to 2,000 reasoning tokens.",
gemini-3-pro-preview_low,153.06,2025-11-18,Google DeepMind,United States of America,API access,,Unknown,Gemini 3 Pro,,Gemini 3 Pro Preview (low)
claude-haiku-4-5-20251001_low,142.86,2025-10-15,Anthropic,United States of America,API access,,Unknown,Claude Haiku 4.5,,Claude Haiku 4.5 (low)
claude-3-7-sonnet-20250219_2K,141.67,2025-02-24,Anthropic,United States of America,API access,3.3499999999999998e+25,Likely,Claude 3.7 Sonnet,"A previous flagship reasoning model from Anthropic, benchmarked with up to 2,000 reasoning tokens allowed.",Claude 3.7 Sonnet (2k thinking)
gpt-5.4-pro-2026-03-05_none,158.57,2026-03-05,OpenAI,United States of America,API access,,Likely,GPT-5.4 Pro,,GPT-5.4 Pro (no thinking)
grok-3-mini_high,140.91,2025-06-24,xAI,United States of America,API access,,Unknown,Grok-3 mini,,Grok 3 mini
gemini-2.5-flash-preview-09-2025_16k,143.22,2025-09-25,Google DeepMind,United States of America,API access,,Unknown,Gemini 2.5 Flash,,
gpt-oss-120b_medium,140.54,2025-08-05,OpenAI,United States of America,Open weights (unrestricted),4.94e+24,Confident,gpt-oss-120b,"The larger one of OpenAI's two latest open source language models, evaluated with medium reasoning effort.",
gemini-2.5-flash-preview-04-17 (16K thinking),140.61,2025-04-17,Google DeepMind,United States of America,API access,,Unknown,Gemini 2.5 Flash,"An April 2025 preview version of Gemini 2.5 Flash, a small reasoning model in the Gemini 2.5 series from DeepMind, evaluated with up to 16,000 reasoning tokens.",
gpt-5-chat,150.0,,OpenAI,United States of America,API access,6.6e+25,Speculative,GPT-5,,
kimi-k2-0711-preview,140.44,2025-07-12,Moonshot,China,Open weights (restricted use),2.976e+24,Confident,Kimi K2,A preview of an updated version of Kimi K2.,
DeepSeek-V3.1_thinking,,2025-08-21,DeepSeek,China,Open weights (unrestricted),3.594058e+24,Confident,DeepSeek-V3.1,,
gpt-oss-20b_medium,136.65,2025-08-05,OpenAI,United States of America,Open weights (unrestricted),5.49e+23,Confident,gpt-oss-20b,"The smaller one of OpenAI's two latest open source language models, evaluated with medium reasoning effort.",
gemini-2.5-flash-lite-preview-06-17_16K,,2025-06-17,Google DeepMind,United States of America,API access,,Unknown,Gemini 2.5 Flash-Lite,"A June 2025 preview of Gemini 2.5 Flash Lite, evaluated with up to 16,000 reasoning tokens.",
Inkling_high,148.77,2026-07-15,Thinking Machines,United States of America,Open weights (unrestricted),1.845e+24,Likely,Inkling,,Inkling (high)
gemini-robotics-er-1.6-preview,,2026-04-14,Google,United States of America,API access,,Confident,Gemini Robotics-ER 1.6,,Gemini Robotics-ER 1.6 Preview
gemini-1.5-flash-0514,122.24,2024-05-14,Google DeepMind,United States of America,API access,,Unknown,Gemini 1.5 Flash,,
mistral-small-2402,,2024-02-26,,,,,Unverified,,A 2024 version of a Mistral language model.,
Mixtral-8x22B-v0.1,120.96,2024-04-17,Mistral AI,France,Open weights (unrestricted),2.34e+24,Speculative,Mixtral 8x22B,,
Qwen1.5-7B,,2024-02-04,Alibaba,China,Open weights (unrestricted),1.68e+23,Confident,Qwen1.5-7B,A 7 billion-parameter model in the Qwen 1.5 series.,
qwen1.5-14B,,2024-02-04,Alibaba,China,Open weights (unrestricted),3.36e+23,Confident,Qwen1.5-14B,A 14 billion-parameter model in the Qwen 1.5 series.,
qwen1.5-32B,,2024-02-04,Alibaba,China,Open weights (restricted use),,Confident,Qwen1.5-32B,A 32 billion-parameter model in the Qwen 1.5 series.,
qwen2.5-14b-instruct,,2025-02-26,Alibaba,China,Open weights (unrestricted),1.58760000000001e+24,Confident,Qwen2.5-14B,An instruction-tuned version of Qwen 2.5 14b.,
Yi-large,,2024-05-13,01.AI,China,API access,1.8e+24,Speculative,Yi-Large,,
chutes/DeepSeek-R1-0528,141.83,2025-05-28,DeepSeek,China,Open weights (unrestricted),4.020010000000001e+24,Confident,DeepSeek-R1 (May 2025),,DeepSeek-R1 (May 2025)
chutes/GLM-4.5-FP8,,2025-07-27,,,,,Unverified,,,
chutes/gpt-oss-120b,140.54,2025-08-05,OpenAI,United States of America,Open weights (unrestricted),4.94e+24,Confident,gpt-oss-120b,,
chutes/gpt-oss-120b_high,140.54,2025-08-05,OpenAI,United States of America,Open weights (unrestricted),4.94e+24,Confident,gpt-oss-120b,,
chutes/Llama-4-Maverick-17B-128E-Instruct,132.84,2025-04-06,Meta AI,United States of America,Open weights (restricted use),2.244000000001e+24,Likely,Llama 4 Maverick,,
chutes/Qwen3-8B,,2025-04-28,Alibaba,China,Open weights (unrestricted),1.7712e+24,Confident,Qwen3-8B,,
chutes/Qwen3-235B-A22B,139.48,2025-04-28,Alibaba,China,Open weights (unrestricted),4.752e+24,Likely,Qwen3-235B-A22B,,
chutes/Qwen3-235B-A22B-Thinking-2507,144.67,2025-07-25,Alibaba,China,Open weights (unrestricted),4.752e+24,Likely,Qwen3-235B-A22B (Jul 2025),,
chutes/QwQ-32B,,2025-03-05,Alibaba,China,Open weights (unrestricted),3.51e+24,Speculative,QwQ-32B,,
deepinfra/Qwen3-Next-80B-A3B-Instruct,,2025-09-11,,,,,Unverified,,,
DeepSeek-V3.2-Exp_high,144.86,2025-09-29,DeepSeek,China,Open weights (unrestricted),4.18e+24,Confident,DeepSeek-V3.2-Exp,,
chutes/DeepSeek-V3-0324,136.89,2025-03-24,DeepSeek,China,Open weights (restricted use),3.3e+24,Confident,DeepSeek-V3 (Mar 2025),,DeepSeek-V3 (Mar 2025)
chutes/Gemma-3-27b-It,130.63,2025-03-11,Google DeepMind,United States of America,Open weights (restricted use),2.268e+24,Confident,Gemma 3 27B,,
fireworks/Kimi-K2-Instruct-0905,,2025-09-05,Moonshot,China,Open weights (restricted use),2.976e+24,Confident,Kimi K2,,Kimi K2 Instruct (0905)
grok-3-mini-beta_medium,140.91,2025-04-09,xAI,United States of America,API access,,Unknown,Grok-3 mini,"A beta release of a smaller version of XAI's third generation Grok model, evaluated with medium reasoning effort.",
MiniMax-M1-80k,,2025-06-13,MiniMax,China,Open weights (unrestricted),4.3240062e+24,Likely,MiniMax-M1-80k,,
nvidia-nemotron-nano-9b-v2,,2025-08-18,,,,,Unverified,,,
parasail-qwen3-235b-a22b-instruct-2507,138.87,2025-09-01,Alibaba,China,Open weights (unrestricted),4.752e+24,Likely,Qwen3-235B-A22B (Jul 2025),,
chutes/Qwen3-30B-A3B,,2025-04-28,Alibaba,China,Open weights (unrestricted),6.48e+23,Likely,Qwen3-30B-A3B,,
chutes/Qwen3-14B,,2025-04-28,Alibaba,China,Open weights (unrestricted),3.1968e+24,Confident,Qwen3-14B,,
chutes/Qwen3-32B,,2025-04-28,Alibaba,China,Open weights (unrestricted),7.0848e+24,Confident,Qwen3-32B,,
chutes/Qwen3-Next-80B-A3B-Instruct,,2025-09-11,,,,,Unverified,,,
chutes/Llama-4-Scout-17B-16E Instruct,130.32,2025-04-06,Meta AI,United States of America,Open weights (restricted use),4.08e+24,Likely,Llama 4 Scout,,
DeepSeek-V3-Base,132.87,2024-12-26,DeepSeek,China,Open weights (restricted use),3.3e+24,Confident,DeepSeek-V3,,
Mistral-7B-Instruct-v0.1,111.46,2023-09-27,Mistral AI,France,Open weights (unrestricted),,Confident,Mistral 7B,,
